author,normalized_content,normalized_title
Amado Nervo,encantaba atraía mirada gesto sonrisa andar ingenio francia boca fluía llena gracia avemaría vio pudo jamás olvidar ingenua agua diáfana día rubia nevada margarita par influjo alma celeste amanecía llena gracia avemaría vio pudo jamás olvidar cierta dulce amable dignidad investía sé prestigio lejano singular muchas princesas princesa parecía llena gracia avemaría vio pudo jamás olvidar gocé privilegio encontrarla vía dolorosa fin anhelar cadencias arcanas halló poesía llena gracia avemaría vio pudo jamás olvidar cuánto cuánto quise diez años flores tan bellas nunca pueden durar llena gracia avemaría fuente gracia procedía volvió gota vuelve mar,gratia plena
Gabriela Mistral,,madre triste
Alfredo Lavergne,inquieta contestar solicito pregunta respuesta siempre trabajo alguna representación cuido textos llevan ferrocarril ferrocarril festival festival farfullador farfullador fe fe clan clan hombres fin siglo diferencian sólo periódico cargan bajo brazo,noche
Gonzalo Rojas,parís día aire visto mismo día radiante entonces primavera sabe hace besos todavía busco taxi urgente gentío escrito noche dormiré cuerpo largamente tren interminable parís éste fósforo maravilla violenta relámpago ardemos parar principio hartazgo amémonos pobres minutos trenes trenes aviones errantes cosieron dioses barcos barcos red une terrestre parís oleaje eternidad repente allí despedimos seguir volando olvides escribirme pérdida piel manos ruedas terribles llevan tan lejos noche mundo abre debajo seguir naciendo parís vamos juntos remolino gozoso nace nace revolución cada día pétalos altos encomiendo estrella viene meses sangre dejo dormir sábana pongo mano hermosura preñez toco claramente origen,amantes
Vicente García,esperanza venga venga mejor amargue mañanas alegría incluso instante días dejen ser días,emblema
José María Hinojosa,almendros flor primavera acerca cerezos flor primavera plena granados flor aleja primavera,estelas
Fray Luis de León,virgen sol pura gloria mortales luz cielo piedad alteza ojos vuelve suelo mira miserable cárcel dura cercado tinieblas tristeza si mayor bajeza conoce igual juicio humano culpa ajena poderosa mano quiebra reina cielo cadena virgen cuyo seno halló deidad digno reposo do rigor dulce amor trocado si blando riguroso volviste bien podrás volver sereno corazón nubes rodeado descubre deseado rostro admira cielo suelo adora nubes huirán lucirá día luz alta señora venza ciega triste noche virgen madre junto hacedor dichosa engendradora cuyos pechos floreció vida mira cómo empeora crece dolor cada punto odio cunde amistad olvida si valida justicia verdad engendraste adónde hallará seguro amparo pues madre baste contigo ver desamparo virgen sol vestida luces eternales coronada huellas divinos pies luna envidia emponzoñada engaño agudo lengua fementida odio crel poder ley ninguna hacen guerra pues tal ejército maldito cuál pobre desarmado parte si nombre bendito maría muestra parte virgen vencida llora perdición sierpe fiera daño eterno burlado intento miran ribera seguras muchas gentes caída agua violenta flaco aliento contento espanto piadoso lástima inútil voz fatiga puesto lloroso rostro cortando voy onda enemiga virgen padre esposa dulce madre hijo templo santo inmortal amor hombre escudo veo sino espanto si miro morada peligrosa si salida incierta favor mudo enemigo crudo desnuda verdad proveída armas valedores mentira miserable vida sólo vuelvo respira virgen alto ruego humilde diste honesto cielos contemplar desean terrero puesto brazos presos ojos ciego cien flechas rodean herirme emplean siento dolor mas veo mano dado huir escudarme quiera soberano hijo madre amor librarme virgen lucero amado mar tempestuoso clara guía cuvo santo rayo calla viento mil olas porfía hunden abismo desarmado leño vela remo tiento húmedo elemento corre noche carga aire truena cielo va suelo toca gime rota antena socorre emviste dura roca virgen enficionada común mancilla mal primero humano linaje contamina bien sabes espero dende tierna edad si malvada fuerza venció hecho indina guarda divina vida pecadora clemencia mostrará bien crecido cuanto dolencia merezco menos ser valido virgen dolor fiero añuda lengua consiente publique voz cuanto desea mas oye doliente ánimo contino vocea,oda xxi señora
Alfredo Lavergne,retroscopio montreal vive pasajero clandestino inventó winnipeg,geógrama iii
Juan Meléndez Valdés,viendo amor día mil lindas zagalas huían medrosas mirarle armas dicen picado juró venganza burla hizo extremada tornóse mariposa bracitos alas pies ternezuelos patitas doradas oh bien parece oh suelto vaga sol hace alarde púrpura nácar valle pierde flor besa festivo ronda halaga zagalas verle vuelos gracia mariposa juzgan seguirle tardan cogerle llega burla escapa pos va corriendo simple llama despertando bullicio tan loca algazara pechos incautos ternura grata juntas mira dando alegres risadas súbito amor muestra todas abrasa mas alas ligeras hombros gala guardó fementido así todas alcanza mariposa quedó inconstancia llega hiere pecho herir pasa,amor mariposa
Julio Flórez Roa,ojos indefinibles ojos grandes cielo mar hondos puros ojos selvas andes misteriosos fantásticos oscuros ojos cuyas místicas ojeras ve rastro incógnitos pesares ve aridez riberas huella ondas mares miradme amor eternamente ojos melancólicas pupilas ojos semejáis bajo frente pozos aguas profundas tranquilas miradme amor ojos divinos adornáis soles cabeza encima labios purpurinos parecéis dos abismos tristeza miradme amor fúlgidos ojos muera amo verted lívidos despojos dulce manantial llanto,ojos
Luis de Góngora,suspiros tristes lágrimas cansadas lanza corazón ojos llueven troncos bañan ramas mueven plantas alcides consagradas mas viento fuerzas conjuradas suspiros desatan remueven troncos lágrimas beben mal peor derramadas tierno rostro aquel tributo dan ojos invisible mano sombra aire deja enjuto aquel ángel fieramente humano crea dolor así fruto llorar premio suspirar vano,suspiros tristes lágrimas cansadas
Gonzalo de Berceo,milagros señora versos ix simple clérigo pobre clerecía dicié cutiano missa sancta maría non sabié decir diciéla cada día sabié uso sabiduría fo est missacantano bispo acusado idota mal clérigo provado salve sancta parens sólo tenié usado non sabié missa torpe embargado fo durament movido obispo sanna dicié nunqua preste oí atal hazanna disso diit fijo mala putanna venga pare manna vino obispo preste peccador avié grand miedo perdida color non podíe vergenza catar contral sennor nunqua fo mesquino tan mala sudor díssoli obispo preste dime verdat si tal dizen necedat díssoli buen omne sennor caridat si disiesse non dizría falsedat díssoli obispo quando non as cencia cantar missa nin as sen nin potencia viédote non cantes métote sentencia vivi merezes agudencia fo preste vía triste dessarrado avié grand vergenza danno granado tornó gloriosa ploroso quesado li diesse consejo ca aterrado madre padosa nunqua falleció qui corazón piedes li cadió ruego clérigo luego gelo udió metió plazo luego li acorrió virgo glorosa madre dición apareciol obispo luego visón díxoli fuertes dichos brabiello sermón descubrióli ello corazón díxoli brabamientre don obispo lozano fust tan fuert tan villano nunqua tollí valía grano ásme tollido capellano cantava missa cada día tovist facié yerro eresía judguéstilo bestia cosa radía tollisteli orden capellanía si li mandares decir missa solié decirla grand querella avría finado trenteno día desend verás vale sanna maría fo menazas bispo espantado mandó envar luego preste vedado rogól quel perdonasse avié errado ca fo pleito durament engannado mandólo cantasse solié cantar fuesse gloriosa siervo altar si li menguasse vestir calzar gelo mandarié mismo dar tornó omne bueno capellanía sirvió gloriosa madre sancta maría finó oficio fin qual querría alma gloria dulz cofradía non podriemos escrivir nin rezar aun podiéssemos annos durar diezmos miraclos podiéssemos contar gloriosa denna dios demostrar,clérigo simple
Alfonsina Storni,noche oído dicho dos palabras comunes dos palabras cansadas ser dichas palabras viejas nuevas dos palabras tan dulces luna andaba filtrando ramas detuvo boca tan dulces dos palabras hormiga pasea cuello intento moverme echarla tan dulces dos palabras digo quererlo oh bella vida tan dulces tan mansas aceites olorosos cuerpo derraman tan dulces tan bellas nerviosos dedos mueven hacia cielo imitando tijeras oh dedos quisieran cortar estrellas,dos palabras
Félix María de Samaniego,llevaba cabeza lechera cántaro mercado aquella presteza aquel aire sencillo aquel agrado va diciendo advierte contenta suerte apetecía compañía pensamiento alegre ofrecía inocentes ideas contento marchaba sola feliz lechera decía manera leche vendida limpio dará dinero partida canasto huevos comprar quiero sacar cien pollos estío rodeen cantando pío pío importe logrado pollo mercaré cochino bellota salvado berza castaña engordará tino puede ser consiga ver cómo arrastra barriga llevarélo mercado sacaré duda buen dinero compraré contado robusta vaca ternero salte corra toda campaña monte cercano cabaña pensamiento enajenada brinca manera salto violento cántaro cayó pobre lechera compasión adiós leche dinero huevos pollos lechón vaca ternero oh loca fantasía palacios fabricas viento modera alegría saltando contento contemplar dichosa mudanza quiebre cantarillo esperanza ambiciosa mejor próspera fortuna vivirás ansiosa pueda saciarte cosa alguna anheles impaciente bien futuro mira presente seguro,lechera
Omar García Ramírez,penitente masca cigarro amargo íntimo voy calles transportes colectivos cruzando desolados parques fechas importancia hoy día sol da espera salir ver recorrer rebaños fiera acecho sombra rituales fabriles vez golpe fuerte ágil saciar apetitos nuevo interno bosque burbuja acerada flautista solitario allí hago música alta noche fieras cantan comprenden extraña tonada,diario urbano
José de Espronceda,canta noche canta mañana ruiseñor bosque amores canta llorará llores alba perlas flor temprana teñido cielo amaranta grana brisa tarde flores suspirará rigores amor triste esperanza vana noche serena puro rayo callada luna cantares ecos sonarán bosque umbrío vertiendo dulcísimo desmayo bálsamo save pesares endulzará acento labio,ruiseñor
Francisco Álvarez,amor distancia absorbente profundo vertió luz intensa estéril mundo clamor estentóreo vibrante campana resucitando eco pasión temprana vino musa recitando cantares filtrándose arena subiendo altares percibí lado frágil rosa abriéndome pétalos ingenua temblorosa adentró alma navegó venas arrasando paso muro almenas galvanizó entraña encendida furia sed insaciable candente lujuria contemplé desnuda dulce acogedora agresiva violenta crepúsculo aurora depositó labios labios entregados amar besos tenues besos prolongados acercar boca duros pezones sentí salvaje instinto tigres leones muslos ofrecían invitación callada atravesar carne filo espada palpé piel vibrante vientre estremecido humedad ardiente recóndito nido canto vida manojo temblores estallido sombra ocultos interiores rumor alegre agua rocas clarín anuncia esperanzas locas firmamento cálido envolviendo seno murmullo aire rugido trueno lluvia ligera ternura incesante huracán furioso pasiones amante despertar sueño soñaba despierto haber recogido rosas huerto abrumado peso instante maldije amores amante distante,amor ausente
Pablo Neruda,cien sonetos amor corazón reina apio artesa pequeña leoparda hilo cebolla gusta ver brillar imperio diminuto armas cera vino aceite ajo tierra manos abierta sustancia azul encendida manos transmigración sueño ensalada reptil enrollado manguera podadora levantando perfume dirección jabón espuma subiendo locas escalas escaleras manejando síntoma caligrafía encontrando arena cuaderno letras extraviadas buscaban boca,cien sonetos amor
Juan de Mena,cviii bien quando algund malfechor tempo fazen justicia temor pena pone cobdicia allí adelante bivir mejor mas desque passado temor vuelve vicios primero así bolvieron do desespero desseos quieren muera amador,comparación
Mario Meléndez,debo cuidarme gusanos entierren seguro hablen mal escupan poemas orinen flores frescas adornarán tumba llegado caso devoren huesos arranquen intestinos colmo injusticia roben diente oro vida jamás escribí,precauciones última hora
Marilina Rébora,noche duerma bajo manto olvido ajena desamor encono saña considerando aquel nunca querido sorda mezquindad torcida maña corazón regule cadencioso latido alteren mentiras patraña alma dadivosa sido entregue entero aun gente extraña sentimiento impropio abandone acallado deseo ser renuncie misma ofensa infame perdone quedando entonces beatífica paz plácido sueño redimidor anuncie pasión humana vencerme,designio
Alejandra Pizarnik,reconocer sed emblema significar único sueño sustentarme nunca nuevo amor sido toda ofrenda puro errar loba bosque noche cuerpos decir palabra inocente,trabajos noches
Pablo Neruda,cien sonetos amor cuántas veces amor amé verte tal vez recuerdo reconocer mirada mirarte centaura regiones contrarias mediodía quemante sólo aroma cereales amo tal vez vi supuse pasar levantando copa angol luz luna junio cintura aquella guitarra toqué tinieblas sonó mar desmedido amé supiera busqué memoria casas vacías entré linterna robar retrato sabía cómo pronto mientras ibas conmigo toqué detuvo vida frente ojos reinándome reinas hoguera bosques fuego reino,cien sonetos amor
Fray Luis de León,aunque ricos montones levantes cautivo inútil oro aunque posesiones mejores ajeno daño lloro aunque cruel tirano oprimas verdad avaricia vestida nombre vano convierta compra venta justicia aunque engañes ojos mundo adoras nacerán abrojos agudos alma espanto velará lecho huirás cúita agonía último despecho esperanza buena compañía gozo umbrales penetrará jamás meguera llamas infernales serpentino azote alta fiera diestra mano armada saldrá aposento sola hora clavada rueda aunque puedas voladora tiempo hambriento crudo viene muerte conjurado dejarte desnudo oro cuanto amado quedarás sumido males finibles olvido,oda xvi juez avaro
Federico García Lorca,pronuncio nombre noches oscuras vienen astros beber luna duermen ramajes frondas ocultas siento hueco pasión música loco reloj canta muertas horas antiguas pronuncio nombre noche oscura nombre suena lejano nunca lejano todas estrellas doliente mansa lluvia querré entonces alguna vez culpa corazón si niebla esfuma pasión espera tranquila pura si dedos pudieran deshojar luna,si manos pudieran deshojar
Jorge Luis Borges,i mágico mundo dejado compartirás clara luna lentos jardines luna espejo pasado cristal soledad sol agonías adiós mutuas manos sienes acercaba amor hoy sólo fiel memoria desiertos días nadie pierde repites vanamente sino nunca basta ser valiente aprender arte olvido símbolo rosa desgarra puede matar guitarra ii feliz tal vez importa tantas cosas mundo instante cualquiera profundo diverso mar vida corta aunque horas tan largas oscura maravilla acecha muerte mar flecha libra sol luna amor dicha diste quitaste debe ser borrada ser sólo queda goce triste vana costumbre inclina sur cierta puerta cierta esquina,
Lope de Vega,amor tan honesto pensamiento arde pecho tan dulce pena haciendo grave honor condena cantar sirve instrumento fuego celestial atento alabanza amarilis suena voz curso agua enfrena mueve selva enamora viento luz primera primero día luego sol nació toda encierra círculo ardiente lumbre pura así sol nacía todas hermosuras tierra remitieron luz hermosura,amor tan honesto pensamiento
Luciano Castañón,atalaya cima cimera ola marinera atalayaba oleaje blanca geometría hoy destacamento militar rompe armonía pecera alambres uniformes voces atalaya aún sirves cobijar amor niños nazcan dientes inquietud aventurera tan aventurera lejana playos iban caza pesca ballenera vienes l atalaya pregunta filo rosa van allá parlotea cosa mientras tarde triste rosa calla,atalaya
Octavio Paz,infrecuentes inmerecidas instantáneas verdad tiempo mide instantes estallan astros río detenido árboles fijos mismo río arrasando mismos árboles infrecuentes instantáneas noticias favorables dos tres nubes cristal roca horas altas marea estrépito plumas blancas cielo nocturno islas llamas mitad pacífico mundos imágenes suspendidos hilo araña muchacha avanza partiendo dos altas aguas sol muchacha abre paso llama avanza viento partiendo dos cortina nubes bello velero femenino bello relámpago partiendo dos tiempo hombros marca dientes amor noche polar arde infrecuentes instantáneas noticias mundo mundo entreabre puertas ángel cabecea entrada jardín nunca merecidas da añadidura tierra condenada repetirse tregua indignos muertos enrojecen ciegos deletrean escritura látigo racimos mendigos cuelgan ciudades casas ira torres frente obtusa infrecuentes instantáneas llegan siempre forma palabras brota espiga labios forma veloz abre alas imprevistas instantáneas infancia decíamos ahí viene barco cargado brotaba instantánea imprevista palabra convocada pez álamo colibrí así ahora frente zarpa barco cargado iniciales ávidas encarnar imágenes instantáneas imprevistas cifras mundo luz abre diáfanas terrazas mediodía interna bosque sonámbula penetra cuerpo dormido agua instante nombres habitados,semillas himno
Roque Dalton,nunca entendí laberinto cara cara mismo perfil hurgara espejo matutino lavo polvo preciso así orilla sol alado fino sangre reja muro bien vestidos moho vaho rata amados hijos,permiso lavarme
Leopoldo María Panero,mataré mañana luna salga primer somormujo diga palabra mataré mañana alba lecho perdida sueños cópula semen labios beso abrazo acción gracias mataré mañana luna salga primer somormujo diga palabra pico traiga orden muerte beso acción gracias oración día salga mataré mañana luna salga ladre tercer perro hora novena décimo árbol hojas savia nadie sabe pie tierra mataré mañana caiga hoja decimotercera suelo miseria hoja algún tordo pálido vuelve secreto remoto tarde mataré mañana pedirás perdón carne obscena sexo oscuro va tener falo brillo hierro va tener beso sepulcro olvido mataré mañana luna salga verás cómo bella muerta toda llena flores brazos cruzados labios cerrados rezabas implorabas vez palabra mataré mañana luna salga así aquel cielo dicen leyendas pedirás mañana salvación mataré mañana luna salga veas ángel armado daga desnudo silencio frente cama pálida mataré mañana verás eyaculas pase aquel frío dos piernas mataré mañana luna salga mataré mañana amaré fantasma correré tumba noches ardan nuevo falo tembloroso ensueños sexo misterios semen así lápida primer lecho soñar dioses árboles madres jugar dados noche mataré mañana luna salga primer somormujo diga palabra,proyecto beso
Omar García Ramírez,vine llevarme turista paso cámara mapa equipaje sufre fastidio aduanas morales mete onírica contrabando país mercaderes efigies enviado recomendado postulado indicado supremo tan solo exiliado camino opio estigma flor desierto frente dejadme pasar tranquilo dentro oscura liturgia bostezo embozado capa luna llena aunque nadie espera pueden desesperar fantasmas entonces quién dará cuenta historia,extranjero
Víctor Hugo López Cancino,triste vas pues dediqué quererte unidos abrazados haciendo amor fuerte acaricie suaves manos bien besé tiernos labios contemplé lindos ojos negros vi contigo pasar años entregué terso cuerpo dediqué quererte gran acierto contigo muerte,dediqué quererte
José Juan Tablada,tierno saúz casi casi ámbar casi luz gansos tocan alarma trompetas barro pavo real largo fulgor gallinero demócrata pasas procesión aunque jamás muda tumbos carro mudanza va senda tortuga devuelve desnuda rama nocturna mariposa hojas secas alas recorriendo tela luna clarísima araña vela,haikais
José Ángel Buesa,alza mano siembra gesto impaciente surco viento arena mar sembrar sembrar sembrar infatigablemente mujer surco sueño sembrar sembrar sembrar yérguete vida fe siembra siembra amor odio sonríe pasar arena desierto vientre hembra bajo gesto próvido quieren fructificar desdichados aquellos vida maldijo soñaron nunca supieron amar sembrar árbol ansia sueño hijo vida sembrar sembrar sembrar,sembrar
Marilina Rébora,ven madre descansar trabajos jardín umbroso cultivo sueños luz luciérnagas áureos escarabajos mágica ayuda seres pequeños gnomos visten trajes escarlata brotan alumbran primeras estrellas usan zapatitos hebillas plata dejar musgo marca huellas cantarán cigarra grillo ocultos hiedras glicinas jazmines hojas muertas haremos castillo muros almenados oro amarillo deshaga jardines cabeza hombro inclines,ven madre descansar
Rafael Alberti,rosa alberti allá rodapié mirador cielo entreabría pulsadora aire prima cuello lazo blanco moaré barandal arpa pie bucle nieve cubría enredando cuerdas verdecía alga hilos mano llena suavidades carmines fanal ensueño vaga voladora voló hacia altos miradores miradla querubín querubines vergel aires pulsadora pensativa alberti flores,rosa alberti
Pablo Neruda,méxico mar mar viví traspasado férreo color trepando montes aparecen monasterios llenos espinas ruido venenoso ciudad dientes solapados pululante poetiso hojas muertos gradas construyó silencio irreductible muñones amor leproso esplendor mojado ruinas acre campamento huraño sudor lanzas granos amarillos sube agricultura colectiva repartiendo panes patria veces calcáreas cordilleras interrumpieron camino formas ametrallados ventisqueros despedazan corteza oscura piel mexicana caballos cruzan beso pólvora bajo patriarcales arboledas aquellos borraron bravamente frontera predio entregaron tierra conquistada sangre olvidados herederos aquellos dedos dolorosos anudados sur raíces minuciosa máscara tejieron poblaron floral juguetería fuego textil territorio supe amé si excavada antigedad rostros guardaron intensidad piedras implacables rosa creciente construida mano ayer ensangrentada así tierra tierra tocando barro americano estatura subió venas olvido recostado tiempo día estremeció boca lenguaje,méxico
Juan Boscán,cargado voy doquier ando cuerpo alma pesado causa vivo pues estó apartado do vivir causa iba ganando seso obras desechando queda renta sino pasar pensando pasado cayo bien voy pensando mal corazón sola memoria momento viene ser crudo accidente cómo puede vivir pensamiento si pasado placer mal presente siempre ocupado sentimiento,soneto lxxxii
Federico García Lorca,i salen niños alegres escuela poniendo aire tibio abril canciones tiernas alegría hondo silencio calleja silencio hecho pedazos risas plata nueva ii voy camino tarde flores huerta dejando camino agua tristeza monte solitario cementerio aldea parece campo sembrado granos calaveras florecido cipreses gigantes cabezas órbitas vacías verdosas cabelleras pensativos dolientes horizonte contemplan abril divino vienes cargado sol esencias llena nidos oro floridas calaveras,canción primaveral
Nicolás Guillén,árbol verdece cada primavera feliz nuevo verdiflor amarillas hojas cayeron tronco vuelven novios trémulos entrelazar cifras corazones fijos flechas traspasados vivos muerte digo amo voz repite viento alta copa juega nombre pájaro hijo abril marzo,árbol
Mario Meléndez,sacó pasear palabras palabras mordieron niños niños contaron padres padres cargaron pistolas abrieron fuego palabras palabras gimieron aullaron lamieron lentamente ciegas heridas fin cayeron bruces tierra desangrada vino muerte entonces vestida mejor atuendo detúvose casa poeta llamarlo gritos desesperados abrió puerta poeta sospechar trataba vio muerte colgada sombra sollozando acompáñame dijo aquella noche duelo quién muerto preguntó poeta pues respondió muerte extendió brazos darle pésame,portadora
Delfina Acosta,muestres nunca nadie digas mejor amigo haciéndole jurar muchas copas nunca contará escucha maduró luz primera fruta parral quiero asombres siquiera nombro embargo versos poseen color venas cuentan través vientos agua lleva blanco virginidad debí noches consteladas verde hojas pueblo misa vestidos rosado prudente amante finge ser esposa fiesta,digas
San Juan de la Cruz,adónde escondiste amado dexaste gemido ciervo huyste haviéndome herido salí tras clamando ydo pastores fuerdes allá majadas otero si ventura vierdes aquél quiero decilde adolezco peno muero buscando amores yré montes riberas cogeré flores temeré fieras passaré fuertes fronteras bosques espesuras plantadas mano amado prado verduras flores esmaltado dezid si passado mil gracias derramando pasó sotos presura yéndolos mirando sola figura vestidos dejó hermosura ay quién podrá sanarme acaba entregarte vero quieras embiarme oy mensajero saben dezirme quiero quantos vagan van mil gracias refiriendo llagan déxame muriendo sé quedan balbuziendo mas cómo perseveras vida viviendo vives haziendo mueras flechas recives amado concives pues as llagado aqueste coraón sanaste pues as robado assí dexaste tomas robo robaste apaga enojos pues ninguno basta deshazellos véante ojos pues lumbre dellos sólo quiero tenellos descubre presencia máteme vista hermosura mira dolencia amor cura sino presencia figura christalina fuente si semblantes plateados formases repente ojos deseados entrañas dibuxados apártalos amado voy buelo buélvete paloma ciervo vulnerado otero asoma aire buelo fresco toma amado montañas valles solitarios nemorosos ínsulas estrañas ríos sonorosos silbo ayres amorosos noche sosegada par levantes aurora música callada soledad sonora cena recrea enamora caadnos raposas questá florescida viña rosas hazemos piña parezca nadie montiña detente cierzo muerto ven austro recuerdas amores aspira huerto corran olores pacerá amado flores oh ninfas judea flores rosales ámbar perfumea morá arrabales queráis tocar humbrales escóndete carillo mira haz montañas quieras dezillo mas mira compañas va ínsulas estrañas aves ligeras leones ciervos gamos saltadores montes valles riberas aguas ayres ardores miedos noches veladores amenas liras canto sirenas conjuro cessen yras toquéis muro esposa duerma siguro entrado esposa ameno huerto desseado sabor reposa cuello reclinado dulces braos amado debajo manano allí conmigo desposada allí di mano reparada madre violada lecho florido cuevas leones enlazado púrpura tendido paz edifficado mil escudos oro coronado aga huella jóvenes discurren camino toque centella adobado vino emissiones bálsamo divino interior bodega amado beví quando salía toda aquesta bega cosa sabía ganado perdí seguía allí dio pecho allí enseñó sciencia sabrosa di hecho dexar cosa allí prometí ser esposa alma empleado caudal servicio guardo ganado officio sólo amar exercicio pues si egido oy fuere vista hallada diréis perdido andando enamorada hice perdediza ganada flores esmeraldas frescas mañanas escogidas haremos guinaldas amor florescidas cabello entretexidas solo aquel cabello cuello volar consideraste mirástele cuello presso quedaste ojos llagaste quando miravas gracia ojos imprimían esso adamavas esso merecían adorarlo vían quieras despreciarme si color moreno hallaste bien puedes mirarme después miraste gracia hermosura dexaste blanca palomica arca ramo tornado tortolica socio desseado riberas verdes hallado soledad vivía soledad puesto nido soledad guía solas querido soledad amor herido gozémonos amado vámonos ver hermosura monte collado do mana agua pura entremos adentro espesura luego subidas cabernas piedra yremos bien escondidas allí entraremos mosto granadas gustaremos allí mostrarías aquello alma pretendía luego darías allí vida aquello diste día aspirar ayre canto dulce filomena soto donayre noche serena llama consume da pena nadie mirava aminadab tampoco parescía cerco sosegava cavallería vista aguas descendía,cántico
Antonio Machado,i señor cansa vida garganta ronca gritar mares voz mar asorda señor cansa vida universo ahoga señor dejaste solo solo mar solas ii jugando escondite señor voz llamo voz iii todas partes busco encontrarte jamás todas partes encuentro sólo irte buscar,tres cantares enviados unamuno
Eugenio Florit,conocer vivo sombra frente sólo frente inquietud presente hoy guardo dolor cautivo blanca faz ardor lascivo sueño prendiéndose mente callado eternamente rosa papel verde olivo sueño ensueños torcedores abierta alma trémulas caricias corazón fijas manos lejana voz amores sabor boca delicias serenos oceanos,soneto
Fray Luis de León,viéramos rostro padre eterno alegre suelo hijo amado quitar tiranía infierno fiero capitán encadenado viviéramos llanto sempiterno durara ponzoña bocado serenísima virgen si hallara tal madre dios vos encarnara aunque amor hombre hecho mover padre eterno enviase único engendrado pecho encarnando vos reparase vos remedió derecho hicistes bien acrecentase vida quisistes madre digna dios ansí vencistes padre virgen daros pues quiso vos cristo naciese vos tuvistes desearos siendo deseo tal vos cupiese ser madre contentaros pudiérades serlo menos dios aunque tal madre bien ser dios hijo padre humildad cielo enriquecistes ser cielo levantastes aquello dios sólo fuistes cuanto dios atrás dejastes alma santa padre concebistes verbo vientre cifrastes cielo tierra abrazaron santas entrañas encerraron aunque madre virgen entera hija adán culpa preservada orden nacer vos primera cielo criada piadosa pues seriente fiera vos vio cabeza quebrantada dios dios bajáis cielo suelo hombre hombre alzáis suelo cielo agora virgen generosa perpetua trinidad sentada do padre llama hija hijo esposa espíritu santo dulce amada allí larga mano poderosa repartís gracia dada allí gozáis aquí pluma esencia dios suma,señora
Carlos Bousoño,último dijo vida dolor ojos vi tan llenos dolor último día faltaba morir lecho recordaba triste lejos lejos poquito borroso amigos allá niñez divirtiéndose inmortal aún vida iban huerto pinar alto palpitar luz correr luego escondiéndose tras matorrales momento llamasen casa aún tan sólo última vez pusieron corona rey mundo día cumplía siete años rey siete dueño universo aire mar respiraba fatiga imposibilidad vida corona cartón pintado alegre luego amor compañía honda felicidad años duda instante tan sólo amarga pesadumbre real ahora lágrimas lloró jamás vinieron ojos resbalaban despacio mejillas pálidas humedecían piel boca seguían bajando muerto lágrimas duraban ojos tristes propio dolor,muerte
Julia de Burgos,carrera mar puerta sensación azul dedos salto impetuoso espíritu menos azul nace eterno color aurora despertada mar nadan encuentro locura amarme naufragio van rompiendo puertos remos si barco gaviotas sólo instante detenerlos gritarle voz batan sencillo duelo misterio encuentren voz propia entrelacen sueños viento ciñan estrellas ojos den unidos destellos duelo música aire magnolias abiertas besos olas vistan pasiones pasión vista veleros color aurora despertada mar estiren sueño lleve barco gaviotas deje agua dos cielos,mar
Nicolás Guillén,pienso fría mañana ver allá habana quiere irse busca campo allá suburbio claro botella ron libro poemas alemán fin regalé quedaste perdóname aquel día pareciste niñita sola quizás pequeño gorrión mojado ganas preguntarte nido padres podido abismo blusa dos conejillos caídos pozo ensordecían senos gritos,fría mañana
Pablo Neruda,mamadre viene ahí zuecos madera anoche sopló viento polo rompieron tejados cayeron muros puentes aulló noche entera pumas ahora mañana sol helado llega mamadre doña trinidad marverde dulce tímida frescura sol regiones tempestuosas lamparita menuda apagándose encendiéndose vean camino oh dulce mamadre nunca pude decir madrastra ahora boca tiembla definirte apenas abrí entendimiento vi bondad vestida pobre trapo oscuro santidad útil agua harina vida hizo pan allí consumimos invierno largo invierno desolado goteras dentro casa humildad ubicua desgranando áspero cereal pobreza si ido repartiendo río diamantes ay mamá cómo pude vivir recordarte cada minuto posible llevo marverde sangre apellido pan reparte aquellas dulces manos cortaron saco harina calzoncillos infancia cocinó planchó lavó sembró calmó fiebre hecho podía sostenerme pies seguros cumplida oscura pequeño ataúd primera vez ociosa bajo dura lluvia temuco,mamadre
Rubén Darío,gran don ramón barbas chivo cuya sonrisa flor figura parece viejo dios altanero esquivo animase frialdad escultura cobre ojos instantes fulgura da llama roja tras ramo olivo sensación siento vivo lado vida intensa dura gran don ramón valleinclán inquieta través zodíaco versos actuales esfuma radiosas visiones poeta rompe fracaso cristales visto arrancarse pecho saeta lanzan siete pecados capitales,soneto
Pablo Neruda,cien sonetos amor espléndida razón demonio claro racimo absoluto recto mediodía aquí fin soledad solos lejos desvarío ciudad salvaje línea pura rodea paloma fuego condecora paz alimento erigimos celeste resultado razón amor desnudos viven casa sueños furiosos ríos amarga certidumbre decisiones duras sueño martillo cayeron doble copa amantes balanza elevaron gemelos razón amor dos alas así construyó transparencia,cien sonetos amor
